8:70 8.3:297 
7 161 256 88 272 34 71 109 492 389 450 267 193 307 445 373 294 187 142 213 313 208 125 51 158 489 320 205 251 359 326 110 130 201 41 232 106 13 329 231 448 137 352 412 491 377 330 280 411 160 85 421 139 495 14 62 288 245 459 296 90 17 301 247 141 341 35 92 122 66 103 335 227 244 403 197 268 337 394 39 443 216 249 79 292 422 475 485 331 283 370 390 38 202 23 5 76 349 297 133 457 190 435 31 104 100 119 156 338 115 93 339 
minDistance: 8.3
cost: 90832
capacity: 75563
time: 297
maxTime: 60000
LS1: 167176/174029
LS2: 1552/6853
LS3: 0/0
shakeIters: 5293
shakeLoops: 527
